source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,Europe,Belgium,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,France,2001,Primary energy consumption (EJ),0.013321798
Energy Institute,Biofuels,Europe,Spain,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,United Kingdom,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Portugal,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Other Europe,2001,Primary energy consumption (EJ),0.003111507
Energy Institute,Biofuels,Europe,Poland,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Italy,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Netherlands,2001,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Germany,2001,Primary energy consumption (EJ),0.012949357
Energy Institute,Biofuels,Europe,Other Europe,2002,Primary energy consumption (EJ),0.002746574
Energy Institute,Biofuels,Europe,Sweden,2002,Primary energy consumption (EJ),0.0013438
Energy Institute,Biofuels,Europe,Portugal,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Italy,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Poland,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Spain,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,France,2002,Primary energy consumption (EJ),0.013967747
Energy Institute,Biofuels,Europe,Finland,2002,Primary energy consumption (EJ),2.68E-05
Energy Institute,Biofuels,Europe,Austria,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,United Kingdom,2002,Primary energy consumption (EJ),6.51179E-05
Energy Institute,Biofuels,Europe,Netherlands,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Belgium,2002,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Germany,2002,Primary energy consumption (EJ),0.020348221
Energy Institute,Biofuels,Europe,Spain,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Austria,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Finland,2003,Primary energy consumption (EJ),0.0001608
Energy Institute,Biofuels,Europe,Italy,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Germany,2003,Primary energy consumption (EJ),0.029155957
Energy Institute,Biofuels,Europe,Poland,2003,Primary energy consumption (EJ),0.001179205
Energy Institute,Biofuels,Europe,Belgium,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,France,2003,Primary energy consumption (EJ),0.012834533
Energy Institute,Biofuels,Europe,United Kingdom,2003,Primary energy consumption (EJ),0.000683738
Energy Institute,Biofuels,Europe,Portugal,2003,Primary energy consumption (EJ),
Energy Institute,Biofuels,Europe,Other Europe,2003,Primary energy consumption (EJ),0.002608029
Energy Institute,Biofuels,Europe,Sweden,2003,Primary energy consumption (EJ),0.0027744
